seed,scenario_id,time_slot,embb_cqi,urllc_cqi
42,poor_channel,0,5,4
42,poor_channel,1,5,3
42,poor_channel,2,5,4
42,poor_channel,3,5,4
42,poor_channel,4,5,4
42,poor_channel,5,5,4
42,poor_channel,6,5,5
42,poor_channel,7,4,6
42,poor_channel,8,3,6
42,poor_channel,9,4,6
42,poor_channel,10,4,6
42,poor_channel,11,5,6
42,poor_channel,12,5,6
42,poor_channel,13,5,7
42,poor_channel,14,5,7
42,poor_channel,15,5,6
42,poor_channel,16,5,5
42,poor_channel,17,4,5
42,poor_channel,18,5,5
42,poor_channel,19,5,4
42,poor_channel,20,4,4
42,poor_channel,21,4,4
42,poor_channel,22,5,3
42,poor_channel,23,4,3
42,poor_channel,24,4,3
42,poor_channel,25,4,3
42,poor_channel,26,3,3
42,poor_channel,27,4,4
42,poor_channel,28,5,5
42,poor_channel,29,5,5
42,poor_channel,30,5,5
42,poor_channel,31,5,6
42,poor_channel,32,5,6
42,poor_channel,33,5,5
42,poor_channel,34,4,4
42,poor_channel,35,4,4
42,poor_channel,36,4,4
42,poor_channel,37,5,3
42,poor_channel,38,4,2
42,poor_channel,39,3,3
42,poor_channel,40,3,3
42,poor_channel,41,4,3
42,poor_channel,42,4,3
42,poor_channel,43,5,4
42,poor_channel,44,5,4
42,poor_channel,45,5,4
42,poor_channel,46,6,4
42,poor_channel,47,6,4
42,poor_channel,48,6,4
42,poor_channel,49,6,4
42,poor_channel,50,6,3
42,poor_channel,51,5,3
42,poor_channel,52,6,3
42,poor_channel,53,6,3
42,poor_channel,54,7,3
42,poor_channel,55,7,2
42,poor_channel,56,7,2
42,poor_channel,57,7,2
42,poor_channel,58,7,3
42,poor_channel,59,7,3
42,poor_channel,60,7,3
42,poor_channel,61,7,3
42,poor_channel,62,6,3
42,poor_channel,63,6,4
42,poor_channel,64,6,4
42,poor_channel,65,6,5
42,poor_channel,66,5,5
42,poor_channel,67,4,5
42,poor_channel,68,4,4
42,poor_channel,69,5,4
42,poor_channel,70,5,4
42,poor_channel,71,5,3
42,poor_channel,72,5,4
42,poor_channel,73,6,3
42,poor_channel,74,7,3
42,poor_channel,75,6,3
42,poor_channel,76,6,3
42,poor_channel,77,5,2
42,poor_channel,78,6,2
42,poor_channel,79,6,3
42,poor_channel,80,6,4
42,poor_channel,81,6,5
42,poor_channel,82,7,5
42,poor_channel,83,7,5
42,poor_channel,84,7,5
42,poor_channel,85,8,5
42,poor_channel,86,8,5
42,poor_channel,87,8,6
42,poor_channel,88,8,6
42,poor_channel,89,7,7
42,poor_channel,90,6,8
42,poor_channel,91,6,8
