schema_version,request_id,seed,scenario_id,algorithm,time_slot,throughput_e,delay_u,drop_u,sla_violation,fairness,rb_utilization,allocated_embb_rb,allocated_urllc_rb,used_embb_rb,used_urllc_rb,served_embb_bits,served_urllc_bits,completed_urllc_packets,dropped_urllc_packets,units
1.0.0,smoke-000000,42,poor_channel,tv1_smoke_fixed,0,2.762,0.0,0.0,0.0,0.787784,1.0,25,25,25,25,2762,1895,0,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000001,42,poor_channel,tv1_smoke_fixed,1,2.762,2.0,0.0,0.0,0.99888,1.0,25,25,25,25,2762,1187,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000002,42,poor_channel,tv1_smoke_fixed,2,2.762,0.0,0.0,0.0,0.812889,1.0,25,25,25,25,2762,1895,0,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000003,42,poor_channel,tv1_smoke_fixed,3,2.762,3.0,0.0,0.0,0.76883,1.0,25,25,25,25,2762,1895,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000004,42,poor_channel,tv1_smoke_fixed,4,2.762,4.0,0.0,0.0,0.737293,1.0,25,25,25,25,2762,1895,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000005,42,poor_channel,tv1_smoke_fixed,5,2.762,5.0,0.0,0.0,0.762059,1.0,25,25,25,25,2762,1895,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000006,42,poor_channel,tv1_smoke_fixed,6,2.762,4.0,0.0,0.0,0.670668,1.0,25,25,25,25,2762,2762,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000007,42,poor_channel,tv1_smoke_fixed,7,1.895,4.0,0.0,0.0,0.596506,1.0,25,25,25,25,1895,3703,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000008,42,poor_channel,tv1_smoke_fixed,8,1.187,4.0,0.0,0.0,0.566428,1.0,25,25,25,25,1187,3703,2,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000009,42,poor_channel,tv1_smoke_fixed,9,1.895,4.0,0.0,0.0,0.599617,1.0,25,25,25,25,1895,3703,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000010,42,poor_channel,tv1_smoke_fixed,10,1.895,4.0,0.0,0.0,0.607447,1.0,25,25,25,25,1895,3703,2,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000011,42,poor_channel,tv1_smoke_fixed,11,2.762,4.0,0.0,0.0,0.637954,1.0,25,25,25,25,2762,3703,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
