seed,scenario_id,time_slot,embb_arrival_bits,urllc_arrival_packets,urllc_arrival_bits
42,poor_channel,0,11784,1,2560
42,poor_channel,1,11741,3,7680
42,poor_channel,2,11675,0,0
42,poor_channel,3,12174,1,2560
42,poor_channel,4,12687,1,2560
42,poor_channel,5,14062,2,5120
42,poor_channel,6,12798,1,2560
42,poor_channel,7,9820,2,5120
42,poor_channel,8,14388,3,7680
42,poor_channel,9,13661,2,5120
42,poor_channel,10,12996,3,7680
42,poor_channel,11,10171,1,2560
42,poor_channel,12,12958,0,0
42,poor_channel,13,12525,1,2560
42,poor_channel,14,11047,0,0
42,poor_channel,15,13083,2,5120
42,poor_channel,16,11289,1,2560
42,poor_channel,17,11418,3,7680
42,poor_channel,18,10848,1,2560
42,poor_channel,19,9354,0,0
42,poor_channel,20,11527,0,0
42,poor_channel,21,13085,3,7680
42,poor_channel,22,9363,1,2560
42,poor_channel,23,14029,1,2560
42,poor_channel,24,11841,2,5120
42,poor_channel,25,13982,2,5120
42,poor_channel,26,12691,2,5120
42,poor_channel,27,12211,0,0
42,poor_channel,28,8322,3,7680
42,poor_channel,29,15384,3,7680
42,poor_channel,30,11538,1,2560
42,poor_channel,31,11435,2,5120
42,poor_channel,32,11059,3,7680
42,poor_channel,33,11997,1,2560
42,poor_channel,34,12147,2,5120
42,poor_channel,35,10138,1,2560
42,poor_channel,36,14780,2,5120
42,poor_channel,37,10672,2,5120
42,poor_channel,38,11434,2,5120
42,poor_channel,39,12050,2,5120
42,poor_channel,40,13094,0,0
42,poor_channel,41,10870,2,5120
42,poor_channel,42,10148,2,5120
42,poor_channel,43,16533,0,0
42,poor_channel,44,12216,1,2560
42,poor_channel,45,13345,0,0
42,poor_channel,46,13911,1,2560
42,poor_channel,47,12914,1,2560
42,poor_channel,48,12168,0,0
42,poor_channel,49,14224,0,0
42,poor_channel,50,13794,3,7680
42,poor_channel,51,11231,0,0
42,poor_channel,52,10571,4,10240
42,poor_channel,53,12661,1,2560
42,poor_channel,54,12732,0,0
42,poor_channel,55,11134,1,2560
42,poor_channel,56,11797,3,7680
42,poor_channel,57,13119,0,0
42,poor_channel,58,14852,3,7680
42,poor_channel,59,11987,1,2560
42,poor_channel,60,11576,2,5120
42,poor_channel,61,12304,2,5120
42,poor_channel,62,16747,2,5120
42,poor_channel,63,10695,2,5120
42,poor_channel,64,9597,0,0
42,poor_channel,65,11347,3,7680
42,poor_channel,66,12594,0,0
42,poor_channel,67,11850,2,5120
42,poor_channel,68,14300,1,2560
42,poor_channel,69,14157,2,5120
42,poor_channel,70,8532,0,0
42,poor_channel,71,11500,1,2560
42,poor_channel,72,10224,1,2560
42,poor_channel,73,13363,1,2560
42,poor_channel,74,6787,1,2560
42,poor_channel,75,13398,0,0
42,poor_channel,76,11667,3,7680
42,poor_channel,77,15474,5,12800
42,poor_channel,78,12518,2,5120
42,poor_channel,79,10845,0,0
42,poor_channel,80,13489,1,2560
42,poor_channel,81,13186,1,2560
42,poor_channel,82,11219,3,7680
42,poor_channel,83,11123,1,2560
42,poor_channel,84,14575,1,2560
42,poor_channel,85,12057,2,5120
42,poor_channel,86,12592,4,10240
42,poor_channel,87,12036,0,0
42,poor_channel,88,12897,4,10240
42,poor_channel,89,12924,1,2560
42,poor_channel,90,12586,2,5120
42,poor_channel,91,8941,5,12800
42,poor_channel,92,11886,4,10240
42,poor_channel,93,10657,1,2560
42,poor_channel,94,14060,0,0
42,poor_channel,95,9865,2,5120
42,poor_channel,96,12303,0,0
42,poor_channel,97,10965,0,0
42,poor_channel,98,10584,2,5120
42,poor_channel,99,14643,2,5120
42,poor_channel,100,12689,1,2560
42,poor_channel,101,11723,2,5120
42,poor_channel,102,9780,1,2560
42,poor_channel,103,12968,1,2560
42,poor_channel,104,10980,1,2560
42,poor_channel,105,11468,4,10240
42,poor_channel,106,11624,1,2560
42,poor_channel,107,12430,2,5120
42,poor_channel,108,11599,1,2560
42,poor_channel,109,13226,1,2560
42,poor_channel,110,8874,3,7680
42,poor_channel,111,13707,1,2560
42,poor_channel,112,11634,2,5120
42,poor_channel,113,13548,1,2560
42,poor_channel,114,8818,1,2560
42,poor_channel,115,12541,0,0
42,poor_channel,116,9886,2,5120
42,poor_channel,117,11794,1,2560
42,poor_channel,118,12105,1,2560
42,poor_channel,119,12317,1,2560
42,poor_channel,120,10184,0,0
42,poor_channel,121,13083,2,5120
42,poor_channel,122,11912,2,5120
42,poor_channel,123,11869,1,2560
42,poor_channel,124,13749,0,0
42,poor_channel,125,11527,1,2560
42,poor_channel,126,9403,5,12800
42,poor_channel,127,12729,3,7680
42,poor_channel,128,13976,1,2560
42,poor_channel,129,10510,1,2560
42,poor_channel,130,12181,1,2560
42,poor_channel,131,10188,0,0
42,poor_channel,132,11734,1,2560
42,poor_channel,133,13165,0,0
42,poor_channel,134,12271,1,2560
42,poor_channel,135,14292,1,2560
42,poor_channel,136,11119,2,5120
42,poor_channel,137,12516,3,7680
42,poor_channel,138,13396,4,10240
42,poor_channel,139,12052,2,5120
42,poor_channel,140,12306,0,0
42,poor_channel,141,13575,2,5120
42,poor_channel,142,12857,0,0
42,poor_channel,143,13449,1,2560
42,poor_channel,144,10479,0,0
42,poor_channel,145,13195,1,2560
42,poor_channel,146,11532,1,2560
42,poor_channel,147,12115,2,5120
42,poor_channel,148,12036,1,2560
42,poor_channel,149,9167,0,0
42,poor_channel,150,5731,2,5120
42,poor_channel,151,10415,3,7680
42,poor_channel,152,12855,0,0
42,poor_channel,153,12110,2,5120
42,poor_channel,154,11201,0,0
42,poor_channel,155,9568,2,5120
42,poor_channel,156,13636,0,0
42,poor_channel,157,8483,0,0
42,poor_channel,158,11144,3,7680
42,poor_channel,159,14087,2,5120
42,poor_channel,160,12412,1,2560
42,poor_channel,161,9106,3,7680
42,poor_channel,162,10776,3,7680
42,poor_channel,163,13294,4,10240
42,poor_channel,164,11604,1,2560
42,poor_channel,165,8128,2,5120
42,poor_channel,166,11859,2,5120
42,poor_channel,167,10823,1,2560
42,poor_channel,168,9991,1,2560
42,poor_channel,169,12453,1,2560
42,poor_channel,170,12632,2,5120
42,poor_channel,171,14607,1,2560
42,poor_channel,172,12601,3,7680
42,poor_channel,173,11797,3,7680
42,poor_channel,174,12409,1,2560
42,poor_channel,175,14265,2,5120
42,poor_channel,176,11966,1,2560
42,poor_channel,177,10656,1,2560
42,poor_channel,178,12267,2,5120
42,poor_channel,179,12708,0,0
42,poor_channel,180,9603,2,5120
42,poor_channel,181,12239,0,0
42,poor_channel,182,12371,0,0
42,poor_channel,183,13012,0,0
42,poor_channel,184,10826,3,7680
42,poor_channel,185,11744,3,7680
42,poor_channel,186,10413,0,0
42,poor_channel,187,12309,0,0
42,poor_channel,188,13594,2,5120
42,poor_channel,189,11381,1,2560
42,poor_channel,190,13142,2,5120
42,poor_channel,191,13555,3,7680
42,poor_channel,192,10375,3,7680
42,poor_channel,193,11768,4,10240
42,poor_channel,194,12534,0,0
42,poor_channel,195,14139,0,0
42,poor_channel,196,12098,2,5120
42,poor_channel,197,12050,1,2560
42,poor_channel,198,11520,4,10240
42,poor_channel,199,10421,2,5120
42,poor_channel,200,10033,1,2560
42,poor_channel,201,9376,0,0
42,poor_channel,202,11117,1,2560
42,poor_channel,203,14332,0,0
42,poor_channel,204,11126,3,7680
42,poor_channel,205,9844,0,0
42,poor_channel,206,10796,1,2560
42,poor_channel,207,12548,6,15360
42,poor_channel,208,14440,3,7680
42,poor_channel,209,12630,2,5120
42,poor_channel,210,13165,2,5120
42,poor_channel,211,12752,2,5120
42,poor_channel,212,14588,2,5120
42,poor_channel,213,11072,2,5120
42,poor_channel,214,7552,2,5120
42,poor_channel,215,11591,0,0
42,poor_channel,216,10371,2,5120
42,poor_channel,217,13924,3,7680
42,poor_channel,218,14916,1,2560
42,poor_channel,219,14788,0,0
42,poor_channel,220,10195,0,0
42,poor_channel,221,11403,3,7680
42,poor_channel,222,12870,2,5120
42,poor_channel,223,10468,2,5120
42,poor_channel,224,10600,4,10240
42,poor_channel,225,11533,3,7680
42,poor_channel,226,12525,1,2560
42,poor_channel,227,10895,2,5120
42,poor_channel,228,10660,2,5120
42,poor_channel,229,11669,1,2560
42,poor_channel,230,11367,1,2560
42,poor_channel,231,10152,0,0
42,poor_channel,232,11922,2,5120
42,poor_channel,233,9657,3,7680
42,poor_channel,234,9997,3,7680
42,poor_channel,235,11971,2,5120
42,poor_channel,236,11511,2,5120
42,poor_channel,237,11282,5,12800
42,poor_channel,238,11028,2,5120
42,poor_channel,239,14183,0,0
