schema_version,request_id,seed,scenario_id,algorithm,time_slot,throughput_e,delay_u,drop_u,sla_violation,fairness,rb_utilization,allocated_embb_rb,allocated_urllc_rb,used_embb_rb,used_urllc_rb,served_embb_bits,served_urllc_bits,completed_urllc_packets,dropped_urllc_packets,units
1.0.0,smoke-000000,42,stable_load,tv1_smoke_fixed,0,10.465,1.0,0.0,0.0,0.937096,0.72,25,25,25,11,10465,2560,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000001,42,stable_load,tv1_smoke_fixed,1,10.465,1.0,0.0,0.0,0.967342,1.0,25,25,25,25,10465,4651,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000002,42,stable_load,tv1_smoke_fixed,2,10.465,2.0,0.0,0.0,0.793435,0.76,25,25,25,13,10465,3029,2,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000003,42,stable_load,tv1_smoke_fixed,3,10.465,1.0,0.0,0.0,0.744977,0.72,25,25,25,11,10465,2560,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000004,42,stable_load,tv1_smoke_fixed,4,10.465,1.0,0.0,0.0,0.707338,0.72,25,25,25,11,10465,2560,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000005,42,stable_load,tv1_smoke_fixed,5,10.465,1.0,0.0,0.0,0.675314,0.94,25,25,25,22,10465,5120,2,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000006,42,stable_load,tv1_smoke_fixed,6,10.465,1.0,0.0,0.0,0.654381,0.72,25,25,25,11,10465,2560,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000007,42,stable_load,tv1_smoke_fixed,7,10.465,1.0,0.0,0.0,0.643321,0.94,25,25,25,22,10465,5120,2,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000008,42,stable_load,tv1_smoke_fixed,8,8.601,1.0,0.0,0.0,0.605846,1.0,25,25,25,25,8601,7579,2,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000009,42,stable_load,tv1_smoke_fixed,9,7.579,1.333333,0.0,0.0,0.581416,0.86,25,25,25,18,7579,5221,3,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000010,42,stable_load,tv1_smoke_fixed,10,8.601,1.0,0.0,0.0,0.58331,1.0,25,25,25,25,8601,7579,2,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000011,42,stable_load,tv1_smoke_fixed,11,8.601,1.5,0.0,0.0,0.576713,0.68,25,25,25,9,8601,2661,2,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000012,42,stable_load,tv1_smoke_fixed,12,10.465,0.0,0.0,0.0,0.585281,0.5,25,25,25,0,10465,0,0,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000013,42,stable_load,tv1_smoke_fixed,13,10.465,1.0,0.0,0.0,0.580059,0.68,25,25,25,9,10465,2560,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000014,42,stable_load,tv1_smoke_fixed,14,10.465,0.0,0.0,0.0,0.576244,0.5,25,25,25,0,10465,0,0,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000015,42,stable_load,tv1_smoke_fixed,15,10.465,1.0,0.0,0.0,0.571763,0.8,25,25,25,15,10465,5120,2,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000016,42,stable_load,tv1_smoke_fixed,16,10.465,1.0,0.0,0.0,0.56857,0.66,25,25,25,8,10465,2560,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000017,42,stable_load,tv1_smoke_fixed,17,10.465,1.0,0.0,0.0,0.566462,1.0,25,25,25,25,10465,7579,2,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000018,42,stable_load,tv1_smoke_fixed,18,10.465,1.5,0.0,0.0,0.563082,0.74,25,25,25,12,10465,2661,2,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000019,42,stable_load,tv1_smoke_fixed,19,10.465,0.0,0.0,0.0,0.561283,0.5,25,25,25,0,10465,0,0,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000020,42,stable_load,tv1_smoke_fixed,20,10.465,0.0,0.0,0.0,0.558858,0.5,25,25,25,0,10465,0,0,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000021,42,stable_load,tv1_smoke_fixed,21,10.465,1.0,0.0,0.0,0.571379,1.0,25,25,25,25,10465,6029,2,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
