seed,scenario_id,time_slot,embb_arrival_bits,urllc_arrival_packets,urllc_arrival_bits
42,stable_load,0,17784,1,2560
42,stable_load,1,17741,3,7680
42,stable_load,2,17675,0,0
42,stable_load,3,18174,1,2560
42,stable_load,4,18687,1,2560
42,stable_load,5,20062,2,5120
42,stable_load,6,18798,1,2560
42,stable_load,7,15820,2,5120
42,stable_load,8,20388,3,7680
42,stable_load,9,19661,2,5120
42,stable_load,10,18996,3,7680
42,stable_load,11,16171,1,2560
42,stable_load,12,18958,0,0
42,stable_load,13,18525,1,2560
42,stable_load,14,17047,0,0
42,stable_load,15,19083,2,5120
42,stable_load,16,17289,1,2560
42,stable_load,17,17418,3,7680
42,stable_load,18,16848,1,2560
42,stable_load,19,15354,0,0
42,stable_load,20,17527,0,0
42,stable_load,21,19085,3,7680
42,stable_load,22,15363,1,2560
42,stable_load,23,20029,1,2560
42,stable_load,24,17841,2,5120
42,stable_load,25,19982,2,5120
42,stable_load,26,18691,2,5120
42,stable_load,27,18211,0,0
42,stable_load,28,14322,3,7680
42,stable_load,29,21384,3,7680
42,stable_load,30,17538,1,2560
42,stable_load,31,17435,2,5120
42,stable_load,32,17059,3,7680
42,stable_load,33,17997,1,2560
42,stable_load,34,18147,2,5120
42,stable_load,35,16138,1,2560
42,stable_load,36,20780,2,5120
42,stable_load,37,16672,2,5120
42,stable_load,38,17434,2,5120
42,stable_load,39,18050,2,5120
42,stable_load,40,19094,0,0
42,stable_load,41,16870,2,5120
42,stable_load,42,16148,2,5120
42,stable_load,43,22533,0,0
42,stable_load,44,18216,1,2560
42,stable_load,45,19345,0,0
42,stable_load,46,19911,1,2560
42,stable_load,47,18914,1,2560
42,stable_load,48,18168,0,0
42,stable_load,49,20224,0,0
42,stable_load,50,19794,3,7680
42,stable_load,51,17231,0,0
42,stable_load,52,16571,4,10240
42,stable_load,53,18661,1,2560
42,stable_load,54,18732,0,0
42,stable_load,55,17134,1,2560
42,stable_load,56,17797,3,7680
42,stable_load,57,19119,0,0
42,stable_load,58,20852,3,7680
42,stable_load,59,17987,1,2560
42,stable_load,60,17576,2,5120
42,stable_load,61,18304,2,5120
42,stable_load,62,22747,2,5120
42,stable_load,63,16695,2,5120
42,stable_load,64,15597,0,0
42,stable_load,65,17347,3,7680
42,stable_load,66,18594,0,0
42,stable_load,67,17850,2,5120
42,stable_load,68,20300,1,2560
42,stable_load,69,20157,2,5120
42,stable_load,70,14532,0,0
42,stable_load,71,17500,1,2560
42,stable_load,72,16224,1,2560
42,stable_load,73,19363,1,2560
42,stable_load,74,12787,1,2560
42,stable_load,75,19398,0,0
42,stable_load,76,17667,3,7680
42,stable_load,77,21474,5,12800
42,stable_load,78,18518,2,5120
42,stable_load,79,16845,0,0
42,stable_load,80,19489,1,2560
42,stable_load,81,19186,1,2560
42,stable_load,82,17219,3,7680
42,stable_load,83,17123,1,2560
42,stable_load,84,20575,1,2560
42,stable_load,85,18057,2,5120
42,stable_load,86,18592,4,10240
42,stable_load,87,18036,0,0
42,stable_load,88,18897,4,10240
42,stable_load,89,18924,1,2560
42,stable_load,90,18586,2,5120
42,stable_load,91,14941,5,12800
42,stable_load,92,17886,4,10240
42,stable_load,93,16657,1,2560
42,stable_load,94,20060,0,0
42,stable_load,95,15865,2,5120
42,stable_load,96,18303,0,0
42,stable_load,97,16965,0,0
42,stable_load,98,16584,2,5120
42,stable_load,99,20643,2,5120
42,stable_load,100,18689,1,2560
42,stable_load,101,17723,2,5120
42,stable_load,102,15780,1,2560
42,stable_load,103,18968,1,2560
42,stable_load,104,16980,1,2560
42,stable_load,105,17468,4,10240
42,stable_load,106,17624,1,2560
42,stable_load,107,18430,2,5120
42,stable_load,108,17599,1,2560
42,stable_load,109,19226,1,2560
42,stable_load,110,14874,3,7680
42,stable_load,111,19707,1,2560
42,stable_load,112,17634,2,5120
42,stable_load,113,19548,1,2560
42,stable_load,114,14818,1,2560
42,stable_load,115,18541,0,0
42,stable_load,116,15886,2,5120
42,stable_load,117,17794,1,2560
42,stable_load,118,18105,1,2560
42,stable_load,119,18317,1,2560
42,stable_load,120,16184,0,0
42,stable_load,121,19083,2,5120
42,stable_load,122,17912,2,5120
42,stable_load,123,17869,1,2560
42,stable_load,124,19749,0,0
42,stable_load,125,17527,1,2560
42,stable_load,126,15403,5,12800
42,stable_load,127,18729,3,7680
42,stable_load,128,19976,1,2560
42,stable_load,129,16510,1,2560
42,stable_load,130,18181,1,2560
42,stable_load,131,16188,0,0
42,stable_load,132,17734,1,2560
42,stable_load,133,19165,0,0
42,stable_load,134,18271,1,2560
42,stable_load,135,20292,1,2560
42,stable_load,136,17119,2,5120
42,stable_load,137,18516,3,7680
42,stable_load,138,19396,4,10240
42,stable_load,139,18052,2,5120
42,stable_load,140,18306,0,0
42,stable_load,141,19575,2,5120
42,stable_load,142,18857,0,0
42,stable_load,143,19449,1,2560
42,stable_load,144,16479,0,0
42,stable_load,145,19195,1,2560
42,stable_load,146,17532,1,2560
42,stable_load,147,18115,2,5120
42,stable_load,148,18036,1,2560
42,stable_load,149,15167,0,0
42,stable_load,150,11731,2,5120
42,stable_load,151,16415,3,7680
42,stable_load,152,18855,0,0
42,stable_load,153,18110,2,5120
42,stable_load,154,17201,0,0
42,stable_load,155,15568,2,5120
42,stable_load,156,19636,0,0
42,stable_load,157,14483,0,0
42,stable_load,158,17144,3,7680
42,stable_load,159,20087,2,5120
42,stable_load,160,18412,1,2560
42,stable_load,161,15106,3,7680
42,stable_load,162,16776,3,7680
42,stable_load,163,19294,4,10240
42,stable_load,164,17604,1,2560
42,stable_load,165,14128,2,5120
42,stable_load,166,17859,2,5120
42,stable_load,167,16823,1,2560
42,stable_load,168,15991,1,2560
42,stable_load,169,18453,1,2560
42,stable_load,170,18632,2,5120
42,stable_load,171,20607,1,2560
42,stable_load,172,18601,3,7680
42,stable_load,173,17797,3,7680
42,stable_load,174,18409,1,2560
