schema_version,request_id,seed,scenario_id,algorithm,time_slot,throughput_e,delay_u,drop_u,sla_violation,fairness,rb_utilization,allocated_embb_rb,allocated_urllc_rb,used_embb_rb,used_urllc_rb,served_embb_bits,served_urllc_bits,completed_urllc_packets,dropped_urllc_packets,units
1.0.0,smoke-000000,42,urllc_burst,tv1_smoke_fixed,0,10.465,0.0,0.0,0.0,0.961374,0.5,25,25,25,0,10465,0,0,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000001,42,urllc_burst,tv1_smoke_fixed,1,10.465,0.0,0.0,0.0,0.900333,0.5,25,25,25,0,10465,0,0,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000002,42,urllc_burst,tv1_smoke_fixed,2,10.465,1.0,0.0,0.0,0.844651,0.78,25,25,25,14,10465,2560,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000003,42,urllc_burst,tv1_smoke_fixed,3,10.465,1.0,0.0,0.0,0.821662,0.78,25,25,25,14,10465,2560,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000004,42,urllc_burst,tv1_smoke_fixed,4,10.465,0.0,0.0,0.0,0.776302,0.5,25,25,25,0,10465,0,0,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000005,42,urllc_burst,tv1_smoke_fixed,5,10.465,0.0,0.0,0.0,0.731758,0.5,25,25,25,0,10465,0,0,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000006,42,urllc_burst,tv1_smoke_fixed,6,10.465,0.0,0.0,0.0,0.713619,0.5,25,25,25,0,10465,0,0,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000007,42,urllc_burst,tv1_smoke_fixed,7,10.465,1.0,0.0,0.0,0.718214,1.0,25,25,25,25,10465,4651,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000008,42,urllc_burst,tv1_smoke_fixed,8,8.601,2.0,0.0,0.0,0.648166,0.54,25,25,25,2,8601,469,1,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
1.0.0,smoke-000009,42,urllc_burst,tv1_smoke_fixed,9,7.579,0.0,0.0,0.0,0.621896,0.5,25,25,25,0,7579,0,0,0,"{""throughput_e"":""Mbps"",""delay_u"":""ms"",""drop_u"":""ratio"",""sla_violation"":""ratio"",""fairness"":""index_0_to_1"",""rb_utilization"":""ratio""}"
