seed,scenario_id,time_slot,embb_arrival_bits,urllc_arrival_packets,urllc_arrival_bits
42,urllc_burst,0,15712,0,0
42,urllc_burst,1,15654,0,0
42,urllc_burst,2,15745,1,2560
42,urllc_burst,3,13005,1,2560
42,urllc_burst,4,16465,0,0
42,urllc_burst,5,18327,0,0
42,urllc_burst,6,14523,0,0
42,urllc_burst,7,13971,2,5120
42,urllc_burst,8,17064,0,0
42,urllc_burst,9,13093,0,0
42,urllc_burst,10,17747,0,0
42,urllc_burst,11,15519,0,0
42,urllc_burst,12,17565,2,5120
42,urllc_burst,13,13774,2,5120
42,urllc_burst,14,17329,2,5120
42,urllc_burst,15,13562,0,0
42,urllc_burst,16,16229,0,0
42,urllc_burst,17,17637,0,0
42,urllc_burst,18,17300,1,2560
42,urllc_burst,19,16957,1,2560
42,urllc_burst,20,15500,2,5120
42,urllc_burst,21,20672,1,2560
42,urllc_burst,22,11612,1,2560
42,urllc_burst,23,20149,3,7680
42,urllc_burst,24,17706,0,0
42,urllc_burst,25,16349,0,0
42,urllc_burst,26,19829,0,0
42,urllc_burst,27,14564,1,2560
42,urllc_burst,28,17905,0,0
42,urllc_burst,29,14866,0,0
42,urllc_burst,30,14553,2,5120
42,urllc_burst,31,15413,0,0
42,urllc_burst,32,18387,0,0
42,urllc_burst,33,15963,0,0
42,urllc_burst,34,18169,1,2560
42,urllc_burst,35,17787,0,0
42,urllc_burst,36,11095,3,7680
42,urllc_burst,37,20513,2,5120
42,urllc_burst,38,15698,0,0
42,urllc_burst,39,18847,1,2560
42,urllc_burst,40,19915,0,0
42,urllc_burst,41,14831,1,2560
42,urllc_burst,42,19450,0,0
42,urllc_burst,43,13890,2,5120
42,urllc_burst,44,16196,2,5120
42,urllc_burst,45,13517,0,0
42,urllc_burst,46,20567,2,5120
42,urllc_burst,47,16562,0,0
42,urllc_burst,48,19491,0,0
42,urllc_burst,49,12638,1,2560
42,urllc_burst,50,16227,6,15360
42,urllc_burst,51,12600,8,20480
42,urllc_burst,52,16288,3,7680
42,urllc_burst,53,17794,5,12800
42,urllc_burst,54,15323,7,17920
42,urllc_burst,55,14787,7,17920
42,urllc_burst,56,13883,5,12800
42,urllc_burst,57,19368,10,25600
42,urllc_burst,58,14619,4,10240
42,urllc_burst,59,16125,10,25600
42,urllc_burst,60,12795,4,10240
42,urllc_burst,61,15130,5,12800
42,urllc_burst,62,19067,7,17920
42,urllc_burst,63,18876,7,17920
42,urllc_burst,64,9050,7,17920
42,urllc_burst,65,17864,6,15360
42,urllc_burst,66,16690,4,10240
42,urllc_burst,67,14461,6,15360
42,urllc_burst,68,11669,4,10240
42,urllc_burst,69,16313,6,15360
42,urllc_burst,70,19689,3,7680
42,urllc_burst,71,17887,0,0
42,urllc_burst,72,17195,4,10240
42,urllc_burst,73,17233,0,0
42,urllc_burst,74,18780,1,2560
42,urllc_burst,75,18095,1,2560
42,urllc_burst,76,19618,3,7680
42,urllc_burst,77,14294,1,2560
42,urllc_burst,78,19266,2,5120
42,urllc_burst,79,14484,1,2560
42,urllc_burst,80,18747,0,0
42,urllc_burst,81,13153,2,5120
42,urllc_burst,82,16404,0,0
42,urllc_burst,83,14621,0,0
42,urllc_burst,84,14112,1,2560
42,urllc_burst,85,19524,1,2560
42,urllc_burst,86,18462,1,2560
